DGRP Line,Transvection
line_884,37.72016572
line_757,38.11445679
line_31,48.59767909
line_837,49.06648886
line_810,49.98946875
line_357,50.29613207
line_783,50.71090713
line_101,50.72254075
line_386,51.20427745
line_859,52.32038065
line_195,53.16558195
line_857,53.26155185
line_26,53.51458658
line_399,53.78810696
line_361,55.39126004
line_551,57.9724662
line_93,59.49052822
line_88,60.17642779
line_59,60.32921715
line_405,61.13957482
line_303,61.66036124
line_350,61.71363666
line_142,61.75572603
line_309,61.8188786
line_21,61.83981276
line_822,61.84264924
line_850,62.24447312
line_100,62.28816003
line_535,62.31412797
line_83,62.38875327
line_796,62.53565295
line_802,62.83615369
line_391,63.0085455
line_105,63.01497597
line_379,63.10587259
line_427,63.12900619
line_441,63.36881913
line_440,63.52454289
line_136,63.59897138
line_491,63.70136904
line_894,64.23270783
line_406,64.3598495
line_732,64.89640025
line_853,64.94575383
line_69,65.29391134
line_336,65.63269569
line_153,66.1113058
line_517,67.06495004
line_849,67.12873572
line_217,67.383316
line_109,67.65379504
line_318,67.6623085
line_75,68.27995618
line_502,68.28907393
line_304,68.94786581
line_559,69.32674635
line_358,69.38718044
line_319,69.73176063
line_911,69.75220928
line_129,69.93022731
line_776,71.17009737
line_228,71.79742755
line_313,71.86536184
line_189,71.99033219
line_808,72.1701668
line_748,72.23485465
line_703,72.41638475
line_306,72.49637786
line_307,72.72620231
line_235,72.96555697
line_630,73.19249655
line_287,73.30581453
line_786,73.53315849
line_765,73.85095614
line_879,73.85238866
line_365,73.86335976
line_310,74.17737685
line_908,74.23768121
line_530,74.28287366
line_32,74.52938712
line_390,74.74262651
line_380,74.81792636
line_85,74.92406522
line_38,75.1532832
line_712,75.21242114
line_370,75.25721146
line_714,75.45970369
line_324,75.48587404
line_907,75.50914248
line_149,75.84951419
line_91,76.02780828
line_317,76.05797196
line_790,76.06674647
line_531,76.38391392
line_359,76.66181279
line_426,76.66335054
line_737,76.82386719
line_721,76.95904903
line_397,77.02360877
line_716,77.07297469
line_40,77.37580008
line_738,77.5574384
line_57,78.2396279
line_375,79.09765392
line_360,80.25305065
line_338,80.25646539
line_181,81.2171105
line_820,81.6320769
line_861,81.80232356
line_383,81.89663841
line_818,81.90479113
line_395,82.18349115
line_280,82.38911882
line_437,82.41604916
line_855,83.27393283
line_335,83.28311974
line_584,83.9697741
line_774,84.11264225
line_843,84.78164869
line_707,84.85575814
line_563,84.9953028
line_852,85.18488619
line_443,85.79359899
line_528,85.80543889
line_639,85.94411639
line_374,86.09785546
line_819,86.25166137
line_367,86.5698957
line_900,86.75116482
line_208,87.8995354
line_486,88.61047364
line_315,89.11771024
line_373,89.20741906
line_45,89.33639789
line_439,89.70258782
line_237,90.20234401
line_362,90.64159307
line_890,91.95273333
line_385,93.61051855
line_28,93.73231483
line_320,93.91163053
line_897,94.15471828
line_882,94.63173717
line_239,95.44716844
line_799,96.34619018
line_301,96.86848065
line_555,97.34228738
line_392,99.42706166
line_705,100.2749857
