FID	IID	wolbachia	eigval1	eigval2
line_21	line_21	2	-0.0012	-0.028
line_26	line_26	1	-0.0886	0.1945
line_28	line_28	1	-0.0244	-0.0442
line_31	line_31	1	-0.0076	-0.0148
line_32	line_32	1	-0.1215	0.2076
line_38	line_38	1	0.004	-0.0402
line_40	line_40	2	0.0102	-0.0371
line_45	line_45	1	0.0066	-0.048
line_57	line_57	1	0.0085	-0.045
line_59	line_59	1	-0.0189	-0.0172
line_69	line_69	2	0.0099	-0.054
line_75	line_75	2	0.0127	-0.0416
line_83	line_83	1	0.0101	-0.0415
line_85	line_85	1	-0.0158	0.0158
line_88	line_88	1	-0.014	0.0153
line_91	line_91	1	0.0136	-0.0434
line_93	line_93	1	-0.0973	0.2076
line_100	line_100	2	-0.0092	-0.0062
line_101	line_101	1	-0.0138	0.0052
line_105	line_105	1	0.0086	-0.0485
line_109	line_109	1	-0.0104	0.0108
line_129	line_129	1	0.0074	-0.0425
line_136	line_136	2	0.0036	-0.042
line_142	line_142	2	0.0012	-0.0391
line_149	line_149	2	0.0031	-0.0433
line_153	line_153	2	0.0156	-0.0347
line_181	line_181	2	0.0051	-0.0316
line_189	line_189	2	0.0132	-0.0429
line_195	line_195	1	0.0055	-0.0324
line_208	line_208	1	0.0073	-0.043
line_217	line_217	1	0.0068	-0.0398
line_228	line_228	1	-0.0008	-0.0334
line_235	line_235	1	0.0081	-0.0378
line_237	line_237	2	-0.0157	0.0153
line_239	line_239	1	-0.0221	-0.0212
line_280	line_280	2	0.0019	-0.0357
line_287	line_287	2	0.0048	-0.0274
line_301	line_301	1	-0.0189	0.0129
line_303	line_303	1	0.0026	-0.0586
line_304	line_304	2	0.0051	-0.092
line_306	line_306	2	0.0009	-0.0721
line_307	line_307	1	0.0038	-0.0405
line_309	line_309	1	0.0081	-0.0374
line_310	line_310	2	0.0122	-0.0251
line_313	line_313	1	-0.0844	0.185
line_315	line_315	1	-0.001	-0.0346
line_317	line_317	2	0.0036	-0.0342
line_318	line_318	2	0.0031	-0.0381
line_319	line_319	2	0.011	-0.0352
line_320	line_320	2	0.0053	-0.0335
line_321	line_321	2	-0.0196	0.0079
line_324	line_324	1	-0.029	-0.0286
line_335	line_335	2	0.0087	-0.0292
line_336	line_336	2	-0.0185	0.0213
line_338	line_338	2	-0.0184	0.0204
line_350	line_350	1	-0.1357	0.2428
line_357	line_357	1	0.0038	-0.0299
line_358	line_358	1	-0.1419	0.2562
line_359	line_359	1	-0.0968	0.1978
line_360	line_360	2	0.0077	-0.0326
line_361	line_361	2	-0.0017	-0.0284
line_362	line_362	2	0.0092	-0.0364
line_365	line_365	2	0.0047	-0.036
line_367	line_367	1	0.0117	-0.0293
line_370	line_370	2	0.008	-0.0337
line_373	line_373	1	0.0003	-0.0346
line_374	line_374	2	-0.0148	-0.0145
line_375	line_375	1	0.0052	-0.0399
line_379	line_379	1	0.0083	-0.0328
line_380	line_380	2	0.0013	-0.0247
line_383	line_383	2	-0.0831	0.1767
line_385	line_385	1	0.4803	0.2094
line_386	line_386	1	-0.0699	0.1899
line_390	line_390	1	-0.0962	0.1841
line_391	line_391	1	0.0168	-0.0307
line_392	line_392	1	0.2915	0.1244
line_395	line_395	1	0.5259	0.2315
line_397	line_397	2	0.0057	-0.036
line_399	line_399	1	0.4662	0.2029
line_405	line_405	2	-0.0166	0.0164
line_406	line_406	1	-0.0949	0.2011
line_426	line_426	1	-0.0168	0.0059
line_427	line_427	1	0.0156	-0.0381
line_437	line_437	1	-0.026	-0.0257
line_439	line_439	1	0.0037	-0.0354
line_440	line_440	2	0.001	-0.041
line_441	line_441	2	0.0069	-0.0377
line_443	line_443	1	-0.0121	0.0105
line_486	line_486	2	0.0053	-0.0335
line_491	line_491	1	0.0056	-0.0439
line_502	line_502	1	-0.0141	0.019
line_517	line_517	1	0.0104	-0.0369
line_528	line_528	2	-0.0145	0.0152
line_530	line_530	2	0.0027	-0.0291
line_531	line_531	2	0.0107	-0.0417
line_535	line_535	2	0.0066	-0.04
line_551	line_551	2	-0.0058	-0.0281
line_555	line_555	2	-0.0251	-0.0237
line_559	line_559	1	0.0002	-0.0405
line_563	line_563	1	-0.0099	0.0036
line_584	line_584	2	-0.1053	0.1873
line_630	line_630	1	-0.0675	0.1193
line_639	line_639	2	-0.0008	-0.0362
line_703	line_703	1	0.009	-0.0392
line_705	line_705	2	0.0055	-0.0339
line_707	line_707	2	-0.0102	-0.0216
line_712	line_712	2	-0.0244	-0.0146
line_714	line_714	1	-0.0224	-0.025
line_716	line_716	2	0.0092	-0.053
line_721	line_721	2	-0.0015	-0.0492
line_732	line_732	1	0.0025	-0.0388
line_737	line_737	2	-0.0156	0.0075
line_738	line_738	2	-0.0005	-0.0258
line_748	line_748	2	-0.1363	0.2303
line_757	line_757	1	0.0057	-0.0352
line_765	line_765	1	0.0038	-0.0458
line_774	line_774	1	0.0029	-0.0333
line_776	line_776	2	0.0126	-0.0779
line_783	line_783	2	-0.0041	-0.0468
line_786	line_786	2	0.0125	-0.0481
line_790	line_790	2	-0.0086	-0.0476
line_796	line_796	2	-0.0032	-0.0383
line_799	line_799	1	-0.021	0.0176
line_802	line_802	2	-0.028	0.025
line_808	line_808	1	0.0044	-0.0357
line_810	line_810	1	-0.0309	-0.0159
line_818	line_818	2	0.0018	-0.0446
line_819	line_819	2	-0.0191	-0.0199
line_820	line_820	2	-0.0153	-0.018
line_822	line_822	2	0.0123	-0.0384
line_837	line_837	2	-0.1043	0.2181
line_843	line_843	1	0.0036	-0.0815
